YYYYMMDD,YYYY.DECM,N(m),E(m),U(m),sig_n(mm),sig_e(mm),sig_u(mm)
2011-02-16,2011.1274,5.8,-400.0,-1.3,1.8,1.9,6.0
2011-02-17,2011.1301,6.5,-401.9,-3.1,1.8,1.9,6.1
2011-02-18,2011.1329,5.9,-400.8,-5.5,1.9,1.9,6.1
2011-02-19,2011.1356,5.6,-401.4,-3.5,1.8,1.9,5.9
2011-02-20,2011.1384,6.7,-401.1,-2.4,1.8,1.9,6.0
2011-02-21,2011.1411,5.9,-399.6,-2.8,1.7,1.7,5.6
2011-02-22,2011.1438,6.2,-400.4,-3.2,1.7,1.7,5.8
2011-02-23,2011.1466,6.9,-399.7,-1.1,1.7,1.8,5.8
2011-02-24,2011.1493,6.1,-400.0,0.6,1.8,1.7,5.8
2011-02-25,2011.1521,6.6,-399.0,-2.3,1.8,1.9,6.0
2011-02-26,2011.1548,7.1,-398.6,-6.3,1.8,1.8,5.9
2011-02-27,2011.1575,7.5,-399.9,-11.1,1.6,1.6,5.5
2011-02-28,2011.1603,6.6,-400.1,-8.6,1.8,1.8,5.9
2011-03-01,2011.163,6.7,-399.2,-6.0,2.0,1.9,6.9
2011-03-02,2011.1658,6.5,-398.9,-6.0,2.2,2.3,7.4
2011-03-03,2011.1685,6.2,-399.0,-2.8,1.6,1.7,5.5
2011-03-04,2011.1712,4.6,-397.7,-4.6,1.7,1.8,5.7
2011-03-05,2011.174,6.4,-399.2,-2.8,1.7,1.8,5.8
2011-03-06,2011.1767,5.8,-398.8,-8.2,1.8,1.8,5.8
2011-03-07,2011.1795,7.3,-399.1,-9.4,1.8,1.8,5.9
2011-03-08,2011.1822,7.5,-399.0,-10.5,1.8,1.8,5.9
2011-03-09,2011.1849,8.2,-397.5,-5.5,1.8,1.9,6.0
2011-03-10,2011.1877,6.3,-398.2,-3.9,1.7,1.8,5.6
2011-03-11,,,,,,,
2011-03-12,2011.1932,7.6,-396.9,-6.1,1.8,1.9,6.0
2011-03-13,2011.1959,8.2,-395.7,-6.93,1.9,2.0,5.93
2011-03-14,2011.1986,7.6,-396.7,-7.77,1.7,1.9,5.87
2011-03-15,2011.2014,8.4,-395.1,-8.6,1.8,1.8,5.8
2011-03-16,2011.2041,8.5,-395.8,-7.0,2.1,2.1,6.7
2011-03-17,2011.2068,9.2,-395.2,-6.9,1.9,1.9,6.4
2011-03-18,2011.2096,9.3,-396.4,-6.2,1.7,1.8,5.7
2011-03-19,2011.2123,8.8,-395.2,-5.5,1.9,2.0,6.2
2011-03-20,2011.2151,9.6,-394.9,-7.8,2.0,2.1,6.7
2011-03-21,2011.2178,8.8,-395.1,-13.2,1.7,1.8,5.5
2011-03-22,2011.2205,8.5,-395.1,-11.0,1.7,1.7,5.6
2011-03-23,2011.2233,7.6,-394.8,-10.8,1.6,1.7,5.4
2011-03-24,2011.226,7.6,-394.8,-10.1,1.7,1.8,5.5
2011-03-25,2011.2288,7.2,-393.3,-8.0,1.9,1.9,6.1
2011-03-26,2011.2315,7.8,-394.8,-6.9,2.0,2.2,6.6
2011-03-27,2011.2342,8.8,-394.2,-9.0,1.9,2.0,6.1
2011-03-28,2011.237,8.1,-395.3,-6.1,1.7,1.8,5.7
2011-03-29,2011.2397,6.3,-394.7,-4.7,1.8,1.9,5.8
2011-03-30,2011.2425,7.6,-394.3,-7.2,1.9,2.0,6.3
2011-03-31,2011.2452,7.8,-394.2,-9.2,1.8,1.9,5.8
2011-04-01,2011.2479,7.7,-395.2,-7.8,1.8,1.9,6.0
2011-04-02,2011.2507,7.9,-395.6,-7.9,1.9,1.9,6.0
2011-04-03,2011.2534,7.2,-395.8,-6.0,1.8,1.9,5.9
2011-04-04,2011.2562,7.8,-395.8,-9.5,1.8,1.8,5.9
2011-04-05,2011.2589,6.9,-395.4,-7.2,2.0,2.1,6.5
2011-04-06,2011.2616,7.7,-394.7,-11.1,1.8,1.9,6.0
